CAMERA TYPE,CAMERA LOCATION CODE,LOCATION DESCRIPTION,Location
MOBILE SPEED CAMERA,0226A,"34 Langtree Cres, Crace ACT 2911, Australia","(-35.200023, 149.111308)"
FIXED ONLY SPEED CAMERA,1035,"TUGGERANONG PARKWAY NEAR COTTER ROAD OVERPASS, SOUTHBOUND","(-35.31917, 149.06372)"
MOBILE SPEED CAMERA,0175F,"108 Sternberg Cres, Wanniassa ACT 2903, Australia","(-35.40372, 149.09004)"
MOBILE SPEED CAMERA,0069E,"Erindale Dr, Monash ACT 2904, Australia","(-35.4076, 149.08987)"
MOBILE SPEED CAMERA,0152A,"22 Dixon Dr, Holder ACT 2611, Australia","(-35.33918, 149.03903)"
MOBILE SPEED CAMERA,0142D,"Zuta Holdings Pty Ltd, 855 Sutton Rd, Canberra ACT 2609, Australia","(-35.29477, 149.25518)"
MOBILE SPEED CAMERA,0225A,"41-43 Abena Ave, Crace ACT 2911, Australia","(-35.201168, 149.105901)"
MOBILE SPEED CAMERA,0237C,"Railway St, Oaks Estate ACT 2620, Australia","(-35.3406, 149.216982)"
MOBILE SPEED CAMERA,0210A,"91 Lyttleton Cres, Cook ACT 2614, Australia","(-35.2611, 149.07037)"
MOBILE SPEED CAMERA,0125A,"14 Castieau St, Higgins ACT 2615, Australia","(-35.22995, 149.03259)"
POINT TO POINT CAMERA,2001/2004,HINDMARSH DRIVE EASTBOUND BETWEEN PALMER STREET AND DALRYMPLE STREET,"(-35.34427, 149.13548)"
MOBILE SPEED CAMERA,0144C,"154 Boddington Cres, Kambah ACT 2902, Australia","(-35.38997, 149.05492)"
MOBILE SPEED CAMERA,0062A,"Drakeford Dr, Monash ACT 2904, Australia","(-35.41996, 149.07582)"
MOBILE SPEED CAMERA,0111B,"86 Limestone Ave, Ainslie ACT 2602, Australia","(-35.26897, 149.13949)"
MOBILE SPEED CAMERA,0001C,"Adelaide Ave, Deakin ACT 2600, Australia","(-35.31088, 149.11324)"
MOBILE SPEED CAMERA,0056C,"Athllon Dr, Wanniassa ACT 2903, Australia","(-35.39305, 149.07827)"
MOBILE SPEED CAMERA,0189A,"37-43 Downard St, Calwell ACT 2905, Australia","(-35.43966, 149.10318)"
MOBILE SPEED CAMERA,0116B,"Ashley Dr, Monash ACT 2904, Australia","(-35.41827, 149.10241)"
MOBILE SPEED CAMERA,0027G,"Yamba Dr, Isaacs ACT 2607, Australia","(-35.37911, 149.11582)"
MOBILE SPEED CAMERA,0061V,"Barton Hwy, Hall ACT 2618, Australia","(-35.170868, 149.0606)"
MOBILE SPEED CAMERA,0127B,"83 Ebden St, Ainslie ACT 2602, Australia","(-35.26106, 149.14732)"
MOBILE SPEED CAMERA,0026C,"Tuggeranong Pkwy, Kambah ACT 2902, Australia","(-35.36836, 149.06045)"
MOBILE SPEED CAMERA,0129D,"Monaro Hwy, Fyshwick ACT 2609, Australia","(-35.31116, 149.16915)"
MOBILE SPEED CAMERA,0194A,"41 Jennings St, Curtin ACT 2605, Australia","(-35.32456, 149.07154)"
MOBILE SPEED CAMERA,0002J,"400 Antill St, Watson ACT 2602, Australia","(-35.22915, 149.16684)"
MOBILE SPEED CAMERA,0174A,"30 MacGregor St, Deakin ACT 2600, Australia","(-35.31705, 149.10211)"
MOBILE SPEED CAMERA,0092B,"21 Federal Hwy, Lyneham ACT 2602, Australia","(-35.23709, 149.14213)"
MOBILE SPEED CAMERA,0118F,"Tharwa Dr, Conder ACT 2906, Australia","(-35.46147, 149.09094)"
MOBILE SPEED CAMERA,0181B,"98 Majura Ave, Ainslie ACT 2602, Australia","(-35.25589, 149.14322)"
MOBILE SPEED CAMERA,0115M,"1 Isabella Dr, Gilmore ACT 2905, Australia","(-35.40666, 149.13892)"
MOBILE SPEED CAMERA,0045B,"266 Dryandra St, Lyneham ACT 2602, Australia","(-35.24554, 149.1176)"
MOBILE SPEED CAMERA,0149B,"32 Paperbark St, Banks ACT 2906, Australia","(-35.46911, 149.10456)"
MOBILE SPEED CAMERA,0095E,"Sulwood Dr, Kambah ACT 2902, Australia","(-35.3789, 149.07367)"
MOBILE SPEED CAMERA,0081D,"William Hovell Dr, Australian Capital Territory 2615, Australia","(-35.27405, 149.06357)"
MOBILE SPEED CAMERA,0101A,"31 Nemarang Cres, Waramanga ACT 2611, Australia","(-35.35697, 149.06373)"
MOBILE SPEED CAMERA,0098G,"10 Haydon Dr, Bruce ACT 2617, Australia","(-35.25039, 149.08925)"
MOBILE SPEED CAMERA,0066E,"Ginninderra Dr, Evatt ACT 2617, Australia","(-35.2204, 149.05971)"
MOBILE SPEED CAMERA,0156E,"Streeton Dr, Holder ACT 2611, Australia","(-35.33226, 149.05408)"
MOBILE SPEED CAMERA,4002A,"Horse Park Dr, Harrison ACT 2914, Australia","(-35.197646, 149.162917)"
MOBILE SPEED CAMERA,0004G,"Belconnen Way, Bruce ACT 2617, Australia","(-35.25181, 149.07945)"
MOBILE SPEED CAMERA,0133B,"Unit 7/289 Canberra Ave, Fyshwick ACT 2609, Australia","(-35.33475, 149.16991)"
MOBILE SPEED CAMERA,0096H,"Coulter Dr, Weetangera ACT 2614, Australia","(-35.25303, 149.05467)"
MOBILE SPEED CAMERA,0233D,"Act Forests Hq, 520 Cotter Rd, Coombs ACT 2611, Australia","(-35.327023, 149.046649)"
MOBILE SPEED CAMERA,0197A,"Mirrabei Dr, Ngunnawal ACT 2913, Australia","(-35.1757, 149.12218)"
MOBILE SPEED CAMERA,0238B,"25 Lhotsky St, Charnwood ACT 2615, Australia","(-35.204704, 149.030795)"
MOBILE SPEED CAMERA,0157D,"115 Tom Roberts Ave, Banks ACT 2906, Australia","(-35.46722, 149.10327)"
MOBILE SPEED CAMERA,3055A,"15 Knoke Ave, Gordon ACT 2906, Australia","(-35.456732, 149.086053)"
MOBILE SPEED CAMERA,0150A,"26 Forsythe St, Banks ACT 2906, Australia","(-35.4749, 149.09727)"
MOBILE SPEED CAMERA,0077B,"Yarra Glen, Deakin ACT 2600, Australia","(-35.31921, 149.0892)"
MOBILE SPEED CAMERA,0032D,"62 Kerrigan St, Fraser ACT 2615, Australia","(-35.19389, 149.03369)"
MOBILE SPEED CAMERA,0175D,"Sternberg Cres, Wanniassa ACT 2903, Australia","(-35.40196, 149.10046)"
MOBILE SPEED CAMERA,0114A,"87 Groom St, Hughes ACT 2605, Australia","(-35.32959, 149.08853)"
MOBILE SPEED CAMERA,3015A,"167 La Perouse St, Red Hill ACT 2603, Australia","(-35.339955, 149.134001)"
MOBILE SPEED CAMERA,0250A,"189 Knoke Ave, Gordon ACT 2906, Australia","(-35.471325, 149.088971)"
MOBILE SPEED CAMERA,3054A,"Covenant College, 1 Woodcock Dr, Gordon ACT 2906, Australia","(-35.439408, 149.08908)"
MOBILE SPEED CAMERA,0213B,"80 Osburn Dr, MacGregor ACT 2615, Australia","(-35.20983, 149.01427)"
MOBILE SPEED CAMERA,0055E,"Athllon Dr, Pearce ACT 2607, Australia","(-35.36086, 149.0918)"
MOBILE SPEED CAMERA,0034A,"24 Heysen St, Weston ACT 2611, Australia","(-35.33048, 149.05738)"
MOBILE SPEED CAMERA,0128C,"11 Officer Cres, Ainslie ACT 2602, Australia","(-35.257796, 149.148477)"
MOBILE SPEED CAMERA,0016B,"Oakvale, 592 Lady Denman Dr, Australian Capital Territory 2611, Australia","(-35.30666, 149.07511)"
MOBILE SPEED CAMERA,0186D,"108 Athllon Dr, Greenway ACT 2900, Australia","(-35.41423, 149.06174)"
MOBILE SPEED CAMERA,0066C,"Ginninderra Dr, Bruce ACT 2617, Australia","(-35.23438, 149.08972)"
MOBILE SPEED CAMERA,0059C,"48-50 Belconnen Way, Page ACT 2614, Australia","(-35.2434, 149.0491)"
MOBILE SPEED CAMERA,0146A,"106 Perry Dr, Chapman ACT 2611, Australia","(-35.35598, 149.03505)"
MOBILE SPEED CAMERA,0260B,"55 Overall Ave, Casey ACT 2913, Australia","(-35.173284, 149.091269)"
MOBILE SPEED CAMERA,0004B,"Belconnen Way, Bruce ACT 2617, Australia","(-35.26032, 149.09892)"
MOBILE SPEED CAMERA,0042B,"47 Petterd St, Page ACT 2614, Australia","(-35.23976, 149.05017)"
MOBILE SPEED CAMERA,0002M,"243 Antill St, Watson ACT 2602, Australia","(-35.24501, 149.1587)"
MOBILE SPEED CAMERA,0249B,"Jim Pike Ave, Gordon ACT 2906, Australia","(-35.45267, 149.080583)"
MOBILE SPEED CAMERA,0004Y,"Belconnen Way, Bruce ACT 2617, Australia","(-35.25865, 149.09261)"
MOBILE SPEED CAMERA,0139F,"31 Captain Cook Cres, Griffith ACT 2603, Australia","(-35.32428, 149.13466)"
MOBILE SPEED CAMERA,0112E,"Copland Dr, Melba ACT 2615, Australia","(-35.21872, 149.05411)"
MOBILE SPEED CAMERA,0093A,"Southern Cross Dr, Florey ACT 2615, Australia","(-35.23419, 149.05256)"
MOBILE SPEED CAMERA,0122C,"Gungahlin Dr, Kaleen ACT 2617, Australia","(-35.243959, 149.110638)"
MOBILE SPEED CAMERA,0151C,"150 Narrabundah Ln, Symonston ACT 2609, Australia","(-35.3513, 149.15134)"
MOBILE SPEED CAMERA,0064B,"Hindmarsh Dr, Symonston ACT 2609, Australia","(-35.34009, 149.16788)"
MOBILE SPEED CAMERA,0016G,"Lady Denman Dr, Acton ACT 2601, Australia","(-35.28577, 149.10115)"
MOBILE SPEED CAMERA,0228B,"Well Station Dr, Mitchell ACT 2911, Australia","(-35.20706, 149.136899)"
MOBILE SPEED CAMERA,0198A,"College St, Bruce ACT 2617, Australia","(-35.24255, 149.08033)"
MOBILE SPEED CAMERA,0160D,"33 State Cir, Deakin ACT 2600, Australia","(-35.31078, 149.1204)"
MOBILE SPEED CAMERA,0106B,"11 William Webb Dr, McKellar ACT 2617, Australia","(-35.2108, 149.08171)"
MOBILE SPEED CAMERA,0027C,"Yamba Dr, Mawson ACT 2607, Australia","(-35.363, 149.10581)"
MOBILE SPEED CAMERA,0087E,"73 Clift Cres, Richardson ACT 2905, Australia","(-35.42633, 149.11215)"
MOBILE SPEED CAMERA,0096B,"Coulter Dr, Weetangera ACT 2614, Australia","(-35.24619, 149.0561)"
MOBILE SPEED CAMERA,0001B,"Hopetoun Circuit & Tourist Drive 5 & Adelaide Ave & Tourist Drive 6, Yarralumla ACT 2600, Australia","(-35.31233, 149.10587)"
MOBILE SPEED CAMERA,0208C,"56 Miller St, O'Connor ACT 2602, Australia","(-35.26149, 149.11501)"
MOBILE SPEED CAMERA,0181C,"50 Majura Ave, Ainslie ACT 2602, Australia","(-35.25793, 149.13856)"
RED LIGHT AND SPEED CAMERA,1020,BARRY DRIVE/MARCUS CLARKE STREET,"(-35.2755, 149.12725)"
MOBILE SPEED CAMERA,0070C,"Kuringa Dr, Australian Capital Territory 2615, Australia","(-35.18741, 149.07203)"
MOBILE SPEED CAMERA,0090H,"Majura Parkway, Canberra ACT 2609, Australia","(-35.2147, 149.18952)"
MOBILE SPEED CAMERA,0074D,"662 Mugga Ln, Canberra ACT 2901, Australia","(-35.39656, 149.14514)"
MOBILE SPEED CAMERA,0171E,"91 Wentworth Ave, Kingston ACT 2604, Australia","(-35.32109, 149.14832)"
MOBILE SPEED CAMERA,0016J,"Atsic Culture Centre, 245 Lady Denman Dr, Australian Capital Territory 2600, Australia","(-35.28635, 149.08505)"
MOBILE SPEED CAMERA,0046B,"210 Newman-Morris Circuit, Oxley ACT 2903, Australia","(-35.4067, 149.07912)"
MOBILE SPEED CAMERA,0179B,"82-84 Dumas St, McKellar ACT 2617, Australia","(-35.22012, 149.07165)"
MOBILE SPEED CAMERA,0253B,"43 Chippindall Circuit, Theodore ACT 2905, Australia","(-35.4536, 149.118849)"
MOBILE SPEED CAMERA,0244A,"300 Lanyon Dr, Jerrabomberra NSW 2619, Australia","(-35.378725, 149.181881)"
MOBILE SPEED CAMERA,0061P,"Radio Station, 808 Barton Hwy, Canberra ACT 2912, Australia","(-35.21258, 149.11215)"
MOBILE SPEED CAMERA,0014B,"Hindmarsh Dr, Phillip ACT 2606, Australia","(-35.34889, 149.08727)"
MOBILE SPEED CAMERA,0069B,"Erindale Dr, Monash ACT 2904, Australia","(-35.41474, 149.07679)"
MOBILE SPEED CAMERA,0087D,"63 Clift Cres, Richardson ACT 2905, Australia","(-35.42698, 149.11107)"
MOBILE SPEED CAMERA,0062B,"Drakeford Dr, Greenway ACT 2900, Australia","(-35.41228, 149.07328)"
MOBILE SPEED CAMERA,0258A,"105 Amy Ackman St, Forde ACT 2914, Australia","(-35.163902, 149.147828)"
MOBILE SPEED CAMERA,0072G,"Monaro Hwy, Gilmore ACT 2905, Australia","(-35.42004, 149.1436)"
MOBILE SPEED CAMERA,0075B,"Parkes Way, Acton ACT 2601, Australia","(-35.28443, 149.11099)"
MOBILE SPEED CAMERA,0018A,"Canberra Star Motors, 164 Melrose Dr, Phillip ACT 2606, Australia","(-35.35198, 149.08529)"
MOBILE SPEED CAMERA,0206A,"St Joseph's Rectory, 57 MacArthur Ave, O'Connor ACT 2602, Australia","(-35.25987, 149.12538)"
MOBILE SPEED CAMERA,0083C,"Albert Hall, 100 Commonwealth Ave, Yarralumla ACT 2600, Australia","(-35.29597, 149.12642)"
MOBILE SPEED CAMERA,0262B,"23 Heagney Cres, Chisholm ACT 2905, Australia","(-35.424325, 149.115327)"
MOBILE SPEED CAMERA,0031A,"9 Springvale Dr, Weetangera ACT 2614, Australia","(-35.24367, 149.04491)"
MOBILE SPEED CAMERA,0177A,"48 Madigan St, Hackett ACT 2602, Australia","(-35.24774, 149.16323)"
MOBILE SPEED CAMERA,0112B,"129 Copland Dr, Spence ACT 2615, Australia","(-35.20753, 149.06652)"
MOBILE SPEED CAMERA,0072B,"Monaro Hwy, Gilmore ACT 2905, Australia","(-35.41618, 149.14487)"
MOBILE SPEED CAMERA,0099C,"Yamba Dr, Phillip ACT 2606, Australia","(-35.3487, 149.10024)"
MOBILE SPEED CAMERA,3052A,"51 Sternberg Cres, Wanniassa ACT 2903, Australia","(-35.399175, 149.085271)"
MOBILE SPEED CAMERA,0074B,"662 Mugga Ln, Canberra ACT 2901, Australia","(-35.39547, 149.14287)"
MOBILE SPEED CAMERA,0096E,"Coulter Dr, Belconnen ACT 2617, Australia","(-35.22692, 149.06069)"
MOBILE SPEED CAMERA,0053D,"246-248 Goyder St, Narrabundah ACT 2604, Australia","(-35.33903, 149.14687)"
MOBILE SPEED CAMERA,0022E,"259 Northbourne Ave, Dickson ACT 2602, Australia","(-35.25556, 149.13265)"
MOBILE SPEED CAMERA,0208B,"125-127 Miller St, O'Connor ACT 2602, Australia","(-35.25507, 149.1158)"
MOBILE SPEED CAMERA,3020A,"161 Beasley St, Torrens ACT 2607, Australia","(-35.371858, 149.091117)"
MOBILE SPEED CAMERA,0142E,"Sutton Rd, Kowen ACT 2620, Australia","(-35.27512, 149.25893)"
MOBILE SPEED CAMERA,0166B,"6 Batchelor St, Torrens ACT 2607, Australia","(-35.36584, 149.08982)"
MOBILE SPEED CAMERA,3056A,"40 Heidelberg St, Conder ACT 2906, Australia","(-35.458683, 149.095797)"
MOBILE SPEED CAMERA,0142H,"Driver Training Centre, 441 Sutton Rd, Canberra ACT 2609, Australia","(-35.32021, 149.24315)"
MOBILE SPEED CAMERA,0060A,"23-25 Phillip Ave, Watson ACT 2602, Australia","(-35.23825, 149.14611)"
MOBILE SPEED CAMERA,0072I,"9446 Monaro Hwy, Theodore ACT 2905, Australia","(-35.449317, 149.130197)"
MOBILE SPEED CAMERA,0250C,"75 Knoke Ave, Gordon ACT 2906, Australia","(-35.461539, 149.084355)"
MOBILE SPEED CAMERA,0032A,"184 Kerrigan St, Dunlop ACT 2615, Australia","(-35.19084, 149.01971)"
MOBILE SPEED CAMERA,0224A,"Nudurr Dr, Crace ACT 2911, Australia","(-35.19797, 149.110972)"
MOBILE SPEED CAMERA,0082A,"William Hovell Dr, Molonglo Valley ACT 2611, Australia","(-35.26989, 149.04299)"
MOBILE SPEED CAMERA,0004H,"Belconnen Way, Bruce ACT 2617, Australia","(-35.25185, 149.0804)"
MOBILE SPEED CAMERA,0014H,"Hindmarsh Dr, Weston ACT 2611, Australia","(-35.34615, 149.06028)"
MOBILE SPEED CAMERA,0023D,"Parkes Way, Australian Capital Territory, Australia","(-35.28495, 149.09772)"
MOBILE SPEED CAMERA,0139B,"71 Captain Cook Cres, Griffith ACT 2603, Australia","(-35.33037, 149.13784)"
MOBILE SPEED CAMERA,0122D,"Gungahlin Dr, Bruce ACT 2617, Australia","(-35.25552, 149.09204)"
MOBILE SPEED CAMERA,3000A,"J a MacKinnon Oval, 1 College St, Bruce ACT 2617, Australia","(-35.242385, 149.087771)"
MOBILE SPEED CAMERA,0070D,"Kuringa Dr, Spence ACT 2615, Australia","(-35.19211, 149.06467)"
MOBILE SPEED CAMERA,0096I,"Coulter Dr, Belconnen ACT 2617, Australia","(-35.22837, 149.05913)"
MOBILE SPEED CAMERA,0004K,"Belconnen Way, Belconnen ACT 2617, Australia","(-35.24868, 149.06943)"
MOBILE SPEED CAMERA,0030A,"Taverner St, Wanniassa ACT 2903, Australia","(-35.40568, 149.08164)"
MOBILE SPEED CAMERA,0272A,"Cooyong St, Canberra ACT 2601, Australia","(-35.282084, 149.137251)"
MOBILE SPEED CAMERA,0075G,"Parkes Way, Parkes ACT 2600, Australia","(-35.2938, 149.14385)"
MOBILE SPEED CAMERA,0021A,"385 Mugga Ln, Jerrabomberra NSW 2619, Australia","(-35.37311, 149.13219)"
MOBILE SPEED CAMERA,0118E,"Tharwa Dr, Gordon ACT 2906, Australia","(-35.46668, 149.0908)"
MOBILE SPEED CAMERA,0010E,"Ginninderra Dr, Flynn ACT 2615, Australia","(-35.21617, 149.04126)"
MOBILE SPEED CAMERA,0111A,"55-65 Limestone Ave, Braddon ACT 2612, Australia","(-35.2725, 149.14154)"
MOBILE SPEED CAMERA,3053A,"59 McBryde Cres, Wanniassa ACT 2903, Australia","(-35.406012, 149.090951)"
MOBILE SPEED CAMERA,0087C,"68 Clift Cres, Richardson ACT 2905, Australia","(-35.42718, 149.11102)"
MOBILE SPEED CAMERA,0115J,"Isabella Dr, Fadden ACT 2904, Australia","(-35.41297, 149.1216)"
MOBILE SPEED CAMERA,0029D,"151 Owen Dixon Dr, Evatt ACT 2617, Australia","(-35.19984, 149.07372)"
MOBILE SPEED CAMERA,0006D,"201 Coppins Crossing Rd, Denman Prospect ACT 2611, Australia","(-35.29279, 149.03621)"
MOBILE SPEED CAMERA,0227E,"68 Hoskins St, Mitchell ACT 2911, Australia","(-35.212983, 149.137929)"
MOBILE SPEED CAMERA,0186E,"80 Athllon Dr, Greenway ACT 2900, Australia","(-35.41737, 149.06366)"
MOBILE SPEED CAMERA,0249A,"116 Jim Pike Ave, Gordon ACT 2906, Australia","(-35.461421, 149.078774)"
MOBILE SPEED CAMERA,0034B,"Tuggeranong Pkwy, Lyons ACT 2606, Australia","(-35.3338, 149.06377)"
MOBILE SPEED CAMERA,0092A,"Federal Hwy, Downer ACT 2602, Australia","(-35.23832, 149.14024)"
MOBILE SPEED CAMERA,0049C,"42 Clive Steele Ave, Monash ACT 2904, Australia","(-35.41287, 149.09947)"
MOBILE SPEED CAMERA,0242A,"120 Murranji St, Hawker ACT 2614, Australia","(-35.247251, 149.04005)"
MOBILE SPEED CAMERA,0002G,"251 Antill St, Watson ACT 2602, Australia","(-35.24438, 149.15914)"
MOBILE SPEED CAMERA,0206C,"9-11 MacArthur Ave, O'Connor ACT 2602, Australia","(-35.25896, 149.11692)"
MOBILE SPEED CAMERA,0141D,"73 Sturt Ave, Narrabundah ACT 2604, Australia","(-35.33217, 149.14782)"
MOBILE SPEED CAMERA,0010D,"Ginninderra Dr, Flynn ACT 2615, Australia","(-35.2161, 149.04151)"
MOBILE SPEED CAMERA,0119K,"Horse Park Dr, Forde ACT 2914, Australia","(-35.168357, 149.138578)"
MOBILE SPEED CAMERA,0103C,"83 Flinders Way, Griffith ACT 2603, Australia","(-35.32808, 149.12856)"
MOBILE SPEED CAMERA,0036B,"70 Badimara St, Waramanga ACT 2611, Australia","(-35.35734, 149.06821)"
MOBILE SPEED CAMERA,0001D,"Adelaide Ave, Deakin ACT 2600, Australia","(-35.31073, 149.11328)"
MOBILE SPEED CAMERA,0132A,"23 Canberra Ave, Forrest ACT 2603, Australia","(-35.3159, 149.13118)"
MOBILE SPEED CAMERA,0181F,"165 Majura Ave, Dickson ACT 2602, Australia","(-35.2524, 149.1508)"
MOBILE SPEED CAMERA,0128A,"17 Officer Cres, Ainslie ACT 2602, Australia","(-35.2573, 149.14878)"
MOBILE SPEED CAMERA,0236C,"140 The Valley Ave, Gungahlin ACT 2912, Australia","(-35.188118, 149.137181)"
MOBILE SPEED CAMERA,0040A,"221 Maribyrnong Ave, Kaleen ACT 2617, Australia","(-35.23136, 149.11004)"
MOBILE SPEED CAMERA,0160B,"State Cir, Barton ACT 2600, Australia","(-35.30787, 149.12973)"
MOBILE SPEED CAMERA,0077A,"Yarra Glen, Deakin ACT 2600, Australia","(-35.3187, 149.08907)"
MOBILE SPEED CAMERA,0098C,"Haydon Dr, Bruce ACT 2617, Australia","(-35.24094, 149.08996)"
MOBILE SPEED CAMERA,0004S,"Belconnen Way, Belconnen ACT 2617, Australia","(-35.24883, 149.07168)"
MOBILE SPEED CAMERA,0085C,"Gundaroo Dr, Crace ACT 2911, Australia","(-35.19829, 149.10284)"
MOBILE SPEED CAMERA,0250B,"72 Knoke Ave, Gordon ACT 2906, Australia","(-35.46136, 149.084315)"
MOBILE SPEED CAMERA,0233C,"Act Forests Hq, 520 Cotter Rd, Coombs ACT 2611, Australia","(-35.327103, 149.046647)"
MOBILE SPEED CAMERA,0095H,"Sulwood Dr, Wanniassa ACT 2903, Australia","(-35.39052, 149.1019)"
MOBILE SPEED CAMERA,0097D,"Eastern Valley Way, Bruce ACT 2617, Australia","(-35.2473, 149.07623)"
MOBILE SPEED CAMERA,0007B,"Drakeford Dr, Kambah ACT 2902, Australia","(-35.39316, 149.07029)"
MOBILE SPEED CAMERA,0049B,"154 Clive Steele Ave, Monash ACT 2904, Australia","(-35.41687, 149.08593)"
MOBILE SPEED CAMERA,0164C,"107-115 Barr Smith Ave, Bonython ACT 2905, Australia","(-35.42908, 149.07451)"
MOBILE SPEED CAMERA,3025A,"29 Bramston St, Fadden ACT 2904, Australia","(-35.405258, 149.117831)"
MOBILE SPEED CAMERA,0147B,"84 Eucumbene Dr, Duffy ACT 2611, Australia","(-35.33494, 149.02673)"
MOBILE SPEED CAMERA,0217A,"121-123 Ratcliffe Cres, Florey ACT 2615, Australia","(-35.2313, 149.05462)"
MOBILE SPEED CAMERA,0118B,"Tharwa Dr, Conder ACT 2906, Australia","(-35.46095, 149.0912)"
MOBILE SPEED CAMERA,0037D,"170 Namatjira Dr, Chapman ACT 2611, Australia","(-35.36041, 149.04762)"
MOBILE SPEED CAMERA,0004V,"Belconnen Way, Bruce ACT 2617, Australia","(-35.25228, 149.08175)"
MOBILE SPEED CAMERA,0227A,"50 Hoskins St, Mitchell ACT 2911, Australia","(-35.215927, 149.137407)"
MOBILE SPEED CAMERA,0028A,"132 Pockett Ave, Banks ACT 2906, Australia","(-35.47414, 149.09312)"
MOBILE SPEED CAMERA,0230A,"John Gorton Dr, Denman Prospect ACT 2611, Australia","(-35.306626, 149.030811)"
MOBILE SPEED CAMERA,0095F,"Sulwood Dr, Kambah ACT 2902, Australia","(-35.38174, 149.07897)"
MOBILE SPEED CAMERA,0049A,"207 Clive Steele Ave, Monash ACT 2904, Australia","(-35.42083, 149.08781)"
MOBILE SPEED CAMERA,0234B,"Nullarbor Ave, Harrison ACT 2914, Australia","(-35.201503, 149.152674)"
MOBILE SPEED CAMERA,0256A,"114 Bugden Ave, Gowrie ACT 2904, Australia","(-35.41409, 149.115099)"
MOBILE SPEED CAMERA,0014D,"103 Hindmarsh Dr, Phillip ACT 2606, Australia","(-35.34883, 149.08531)"
MOBILE SPEED CAMERA,0162E,"Carruthers St, Hughes ACT 2605, Australia","(-35.32692, 149.09093)"
MOBILE SPEED CAMERA,0134A,"115 Canberra Ave, Griffith ACT 2603, Australia","(-35.32241, 149.14665)"
MOBILE SPEED CAMERA,0099A,"Yamba Dr, Phillip ACT 2606, Australia","(-35.34128, 149.09475)"
MOBILE SPEED CAMERA,3011A,"47-49 Melbourne Ave, Forrest ACT 2603, Australia","(-35.318058, 149.115901)"
MOBILE SPEED CAMERA,0040C,"194 Maribyrnong Ave, Kaleen ACT 2617, Australia","(-35.22875, 149.11144)"
MOBILE SPEED CAMERA,0077C,"Yarra Glen, Deakin ACT 2600, Australia","(-35.31548, 149.0922)"
MOBILE SPEED CAMERA,0012H,"Gungahlin Dr, Gungahlin ACT 2912, Australia","(-35.2055, 149.13265)"
MOBILE SPEED CAMERA,0015F,"Kingsford Smith Dr, Melba ACT 2615, Australia","(-35.21307, 149.04722)"
MOBILE SPEED CAMERA,0137A,"95 Kitchener St, Garran ACT 2605, Australia","(-35.33864, 149.10264)"
MOBILE SPEED CAMERA,0119L,"The Bicentennial National Trail, Amaroo ACT 2914, Australia","(-35.161859, 149.127902)"
MOBILE SPEED CAMERA,0183A,"19 Coyne St, Fadden ACT 2904, Australia","(-35.40925, 149.12298)"
MOBILE SPEED CAMERA,0139C,"101 Captain Cook Cres, Narrabundah ACT 2604, Australia","(-35.33321, 149.14175)"
MOBILE SPEED CAMERA,0166E,"225 Beasley St, Mawson ACT 2607, Australia","(-35.369965, 149.10353)"
MOBILE SPEED CAMERA,3057A,"73 Lawrence Wackett Cres, Theodore ACT 2905, Australia","(-35.447025, 149.12462)"
MOBILE SPEED CAMERA,3043A,"47 Perry Dr, Chapman ACT 2611, Australia","(-35.357178, 149.042929)"
MOBILE SPEED CAMERA,0118A,"Tharwa Dr, Conder ACT 2906, Australia","(-35.447386, 149.092597)"
MOBILE SPEED CAMERA,0090C,"311 Majura Rd, Canberra ACT 2609, Australia","(-35.242, 149.19423)"
MOBILE SPEED CAMERA,0227B,"32 Hoskins St, Mitchell ACT 2911, Australia","(-35.218368, 149.136919)"
MOBILE SPEED CAMERA,0086B,"Bindubi St, Cook ACT 2614, Australia","(-35.25674, 149.07365)"
MOBILE SPEED CAMERA,0188A,"Johnson Dr, Calwell ACT 2905, Australia","(-35.43245, 149.10354)"
MOBILE SPEED CAMERA,0151A,"189 Narrabundah Ln, Symonston ACT 2609, Australia","(-35.35084, 149.15257)"
MOBILE SPEED CAMERA,0109A,"Ginninderra Dr, MacGregor ACT 2615, Australia","(-35.20356, 149.02325)"
MOBILE SPEED CAMERA,0172A,"121 Lawrence Wackett Cres, Theodore ACT 2905, Australia","(-35.44987, 149.12188)"
MOBILE SPEED CAMERA,0243C,"Majura Parkway, Canberra ACT 2609, Australia","(-35.234282, 149.195385)"
MOBILE SPEED CAMERA,0002H,"293 Antill St, Watson ACT 2602, Australia","(-35.24197, 149.16217)"
MOBILE SPEED CAMERA,0004Z1,"Belconnen Way, Bruce ACT 2617, Australia","(-35.26, 149.10064)"
MOBILE SPEED CAMERA,0070A,"The Bicentennial National Trail, Australian Capital Territory 2615, Australia","(-35.18994, 149.07122)"
MOBILE SPEED CAMERA,0167A,"Shops, Unit 7/70 Hodgson Cres, Pearce ACT 2607, Australia","(-35.36273, 149.08217)"
MOBILE SPEED CAMERA,0014C,"103 Hindmarsh Dr, Phillip ACT 2606, Australia","(-35.34902, 149.0855)"
MOBILE SPEED CAMERA,0010G,"Ginninderra Dr, Flynn ACT 2615, Australia","(-35.21446, 149.03899)"
MOBILE SPEED CAMERA,0090F,"311 Majura Rd, Canberra ACT 2609, Australia","(-35.24192, 149.19407)"
